ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,
3,Foreign Born,7,60 & 61 Years,2015,2015,465,105,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.003079511,,,,,,
3,Foreign Born,8,62 to 64 Years,2015,2015,705,169,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.004668936,,,,,,
3,Foreign Born,9,65 to 74 Years,2015,2015,1733,181,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0114769732,,,,,,
3,Foreign Born,10,75 Years & Over,2015,2015,1195,223,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0079140121,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",0,Under 5 Years,6042,2014,12285,593,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0811480283,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,62 to 64 Years,6042,2014,2248,439,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0148490653,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,45 to 54 Years,6042,2014,13754,1008,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0908514433,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,75 Years & Over,6042,2014,4396,442,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.029037585,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6042,2014,5319,659,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.035134421,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6042,2014,18862,1223,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1245921131,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,65 to 74 Years,6042,2014,5744,511,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0379417399,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,35 to 44 Years,6042,2014,14539,955,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0960367263,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,60 & 61 Years,6042,2014,2116,408,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0139771451,,,,,,
