ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,,
3,Foreign Born,5,45 to 54 Years,2014,2014,603781,7652,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0711076884,,,,,,,
3,Foreign Born,6,55 to 59 Years,2014,2014,278067,7583,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0327481348,,,,,,,
3,Foreign Born,7,60 & 61 Years,2014,2014,97449,5309,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0114766333,,,,,,,
3,Foreign Born,0,Under 5 Years,2014,2014,17993,2595,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0021190475,,,,,,,
3,Foreign Born,8,62 to 64 Years,2014,2014,128063,4856,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0150820644,,,,,,,
3,Foreign Born,9,65 to 74 Years,2014,2014,298317,6630,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0351329908,,,,,,,
3,Foreign Born,1,5 to 17 Years,2014,2014,129503,8171,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0152516541,,,,,,,
3,Foreign Born,10,75 Years & Over,2014,2014,227491,5530,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0267917658,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6042,2014,933460,25274,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1099342027,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6042,2014,549149,8906,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0646736416,,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",30,75 Years & Over,6042,2014,258370,10173,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0304284061,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",24,62 to 64 Years,6042,2014,125579,9701,"New York, NY",16000US3651000,new-york-ny,Native Born,0.014789522,,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",3,5 to 17 Years,6042,2014,1100155,16442,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1295659833,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,45 to 54 Years,6042,2014,513690,16608,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0604976117,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",12,35 to 44 Years,6042,2014,580520,20284,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0683682251,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",27,65 to 74 Years,6042,2014,314215,12642,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0370053087,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",6,18 to 24 Years,6042,2014,611966,13349,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0720716413,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6042,2014,99578,8711,"New York, NY",16000US3651000,new-york-ny,Native Born,0.011727367,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",18,55 to 59 Years,6042,2014,243926,11776,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0287273266,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,18 to 24 Years,6039,2013,622473,17244,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0740524709,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6039,2013,98354,10056,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0117006789,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6039,2013,309529,12359,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0368231028,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",12,35 to 44 Years,6039,2013,574011,19316,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0682871914,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6039,2013,239554,12085,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0284985302,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",30,75 Years & Over,6039,2013,263607,11065,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0313599943,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",15,45 to 54 Years,6039,2013,515991,17886,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0613848448,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,62 to 64 Years,6039,2013,127726,10993,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0151949175,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",3,5 to 17 Years,6039,2013,1099054,16138,"New York, NY",16000US3651000,new-york-ny,Native Born,0.130748907,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,Under 5 Years,6039,2013,538710,6984,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0640876096,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",9,25 to 34 Years,6039,2013,910167,25921,"New York, NY",16000US3651000,new-york-ny,Native Born,0.108277974,,,,,,,
3,Foreign Born,4,35 to 44 Years,2013,2013,596925,10434,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0710131543,,,,,,,
3,Foreign Born,5,45 to 54 Years,2013,2013,596165,9909,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0709227409,,,,,,,
3,Foreign Born,6,55 to 59 Years,2013,2013,265713,8283,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0316105344,,,,,,,
3,Foreign Born,0,Under 5 Years,2013,2013,17046,2761,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0020278766,,,,,,,
3,Foreign Born,7,60 & 61 Years,2013,2013,88283,4062,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0105025829,,,,,,,
3,Foreign Born,1,5 to 17 Years,2013,2013,129773,7017,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0154384388,,,,,,,
3,Foreign Born,8,62 to 64 Years,2013,2013,133003,5637,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0158226956,,,,,,,
3,Foreign Born,2,18 to 24 Years,2013,2013,210095,6735,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0249939417,,,,,,,
3,Foreign Born,9,65 to 74 Years,2013,2013,283720,5632,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0337527363,,,,,,,
3,Foreign Born,10,75 Years & Over,2013,2013,217691,5022,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0258975995,,,,,,,
3,Foreign Born,3,25 to 34 Years,2013,2013,568247,11106,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0676014774,,,,,,,
